filename,X_m,Y_m
0,326.635,338.638
1,367.101,354.522
2,536.441,433.377
3,599.673,306.34
4,377.592,662.039
5,527.132,597.441
6,579.006,482.508
7,582.922,457.285
8,318.594,313.959
9,452.122,415.257
10,510.782,422.604
11,356.05,211.969
12,650.065,467.974
13,213.009,157.192
14,337.814,693.729
15,325.893,418.077
16,689.113,246.162
17,470.913,369.009
18,501.595,289.596
19,453.471,541.971
20,385.183,252.062
21,442.007,446.93
22,462.643,506.719
23,711.143,579.626
24,457.927,329.895
25,407.765,180.608
26,606.319,331.149
27,192.264,502.037
28,390.875,396.081
29,234.505,449.697
30,424.109,260.284
31,364.643,437.428
32,495.982,441.809
33,481.948,576.394
34,317.004,421.629
35,268.509,552.474
36,395.268,995.893
37,574.483,321.241
38,554.649,315.744
39,565.061,433.779
40,419.462,542.497
41,350.245,679.933
42,319.44,493.028
43,509.671,239.795
44,427.94,443.458
45,410.365,552.408
46,460.47,548.193
47,669.188,507.962
48,323.314,512.222
49,357.804,647.668
50,275.722,244.214
51,302.339,421.004
52,408.919,446.383
53,338.004,665.895
54,283.644,561.939
55,229.222,437.109
56,574.814,368.213
57,456.738,307.5
58,290.927,547.766
59,322.183,648.565
60,181.292,235.076
61,241.836,521.404
62,413.402,311.007
63,336.044,162.135
64,201.454,303.392
65,488.337,439.047
66,429.572,406.626
67,260.461,402.606
68,379.233,577.882
69,212.57,277.507
70,441.959,331.713
71,262.692,447.271
72,440.814,341.815
73,327,251.356
74,317.126,289.3
75,367.929,404.466
76,665.533,335.747
77,469.954,526.881
78,391.052,336.756
79,387.946,517.205
80,286.16,185.646
81,338.889,386.399
82,804.269,377.528
83,280.435,264.131
84,353.335,374.406
85,370.743,289.352
86,358.328,408.207
87,667.676,452.237
88,447.3,220.284
89,655.122,237.938
90,483.913,414.186
91,373.05,454.371
92,295.634,344.723
93,350.826,565.726
94,427.461,358.789
95,456.15,370.984
96,266.185,232.846
97,717.373,404.079
98,592.622,596.955
99,430.718,450.286
100,371.374,428.091
101,303.46,346.573
102,495.318,386.403
103,561.39,478.709
104,260.326,292.906
105,441.246,385.96
106,362.942,756.585
107,329.825,429.414
108,331.969,382.495
109,247.768,263.631
110,439.78,333.668
111,449.974,446.035
112,723.495,372.694
113,412.27,384.478
114,467.807,335.034
115,308.576,225.727
116,427.062,260.759